feature_name,mean_abs_shap_h1,rank_h1,mean_abs_shap_h2,rank_h2,mean_abs_shap_h3,rank_h3,mean_abs_shap_h4,rank_h4,avg_rank
value_lag_2,0.028299393132328987,21,0.018491821363568306,30,0.015095327980816364,37,0.015582789666950703,40,32.0
us_total_lag_1,0.0015424940502271056,45,0.022186877205967903,27,0.01834685541689396,35,0.022782735526561737,32,34.75
rate_lag_1,0.012319634668529034,27,0.004242593888193369,46,0.021113436669111252,33,0.016089238226413727,38,36.0
value_rolling_max_8,0.011450322344899178,31,0.014118269085884094,34,0.013857104815542698,38,0.012738486751914024,44,36.75
yoy_diff,0.006378429010510445,36,0.005897148046642542,42,0.022520869970321655,32,0.017746452242136,37,36.75
recent_severity_ratio,0.00285525294020772,41,0.0102486377581954,35,0.01282439287751913,41,0.021453671157360077,33,37.5
us_total_rolling_std_4,0.00990920141339302,33,0.008002039045095444,38,0.006223489996045828,44,0.014694906771183014,42,39.25
us_total_lag_3,0.0,47,0.005875651258975267,43,0.02563168667256832,30,0.014939437620341778,41,40.25
location_name,0.0,49,0.007879182696342468,39,0.013770033605396748,39,0.020146097987890244,35,40.5
value_rolling_std_8,0.006218664348125458,37,0.009671748615801334,36,0.005706051364541054,46,0.008820603601634502,45,41.0
season_phase_sin,0.0042913518846035,39,0.0005440135137178004,49,0.010654457844793797,42,0.02090540900826454,34,41.0
value_lag_4,0.0018803594866767526,42,0.005690735299140215,44,0.013586285524070263,40,0.0039880708791315556,49,43.75
us_total_lag_2,0.0017235679551959038,43,0.005898629780858755,41,0.005708098877221346,45,0.005681520793586969,48,44.25
acceleration,0.0,48,0.005628584418445826,45,0.005557664204388857,47,0.014668374322354794,43,45.75
value_lag_12,0.0015986018115654588,44,0.001984180184081197,47,0.002233167178928852,48,0.005830613896250725,46,46.25
value_lag_8,0.00046459020813927054,46,0.0016994844190776348,48,0.002043774351477623,49,0.005761243402957916,47,47.5
