location,cutoff_date,forecast_date,forecast_week,forecast,raw_model_output,target_mode,reference_date,target_end_date,horizon
50,2024-11-02,2024-11-23,3,3.24934983253479,1.446766,log,2024-11-02,2024-11-23,3
50,2024-11-02,2024-11-30,4,5.292228698730469,1.8393153,log,2024-11-02,2024-11-30,4
51,2024-11-02,2024-11-09,1,21.879714965820312,3.1302507,log,2024-11-02,2024-11-09,1
51,2024-11-02,2024-11-16,2,37.216556549072266,3.6432688,log,2024-11-02,2024-11-16,2
51,2024-11-02,2024-11-23,3,44.829689025878906,3.824932,log,2024-11-02,2024-11-23,3
51,2024-11-02,2024-11-30,4,69.3226318359375,4.2530937,log,2024-11-02,2024-11-30,4
53,2024-11-02,2024-11-09,1,7.3707098960876465,2.1247387,log,2024-11-02,2024-11-09,1
53,2024-11-02,2024-11-16,2,12.923111915588379,2.6335502,log,2024-11-02,2024-11-16,2
53,2024-11-02,2024-11-23,3,19.074081420898438,2.9994295,log,2024-11-02,2024-11-23,3
53,2024-11-02,2024-11-30,4,26.463415145874023,3.3128548,log,2024-11-02,2024-11-30,4
54,2024-11-02,2024-11-09,1,1.2253121137619019,0.7998972,log,2024-11-02,2024-11-09,1
54,2024-11-02,2024-11-16,2,2.356372356414795,1.2108607,log,2024-11-02,2024-11-16,2
54,2024-11-02,2024-11-23,3,5.0255303382873535,1.7960055,log,2024-11-02,2024-11-23,3
54,2024-11-02,2024-11-30,4,9.701740264892578,2.3704064,log,2024-11-02,2024-11-30,4
55,2024-11-02,2024-11-09,1,10.191519737243652,2.4151564,log,2024-11-02,2024-11-09,1
55,2024-11-02,2024-11-16,2,14.759302139282227,2.7574308,log,2024-11-02,2024-11-16,2
55,2024-11-02,2024-11-23,3,29.238632202148438,3.4091203,log,2024-11-02,2024-11-23,3
55,2024-11-02,2024-11-30,4,47.81715393066406,3.8880818,log,2024-11-02,2024-11-30,4
56,2024-11-02,2024-11-09,1,1.5268352031707764,0.9269676,log,2024-11-02,2024-11-09,1
56,2024-11-02,2024-11-16,2,3.3593809604644775,1.4723301,log,2024-11-02,2024-11-16,2
56,2024-11-02,2024-11-23,3,5.35870361328125,1.8498245,log,2024-11-02,2024-11-23,3
56,2024-11-02,2024-11-30,4,8.538277626037598,2.255313,log,2024-11-02,2024-11-30,4
72,2024-11-02,2024-11-09,1,26.370901107788086,3.3094804,log,2024-11-02,2024-11-09,1
72,2024-11-02,2024-11-16,2,38.24425506591797,3.669805,log,2024-11-02,2024-11-16,2
72,2024-11-02,2024-11-23,3,51.90605545043945,3.9685178,log,2024-11-02,2024-11-23,3
72,2024-11-02,2024-11-30,4,101.11426544189453,4.6260924,log,2024-11-02,2024-11-30,4
US,2024-11-02,2024-11-09,1,845.5009155273438,6.7411113,log,2024-11-02,2024-11-09,1
US,2024-11-02,2024-11-16,2,883.58837890625,6.7851224,log,2024-11-02,2024-11-16,2
US,2024-11-02,2024-11-23,3,1118.0794677734375,7.020262,log,2024-11-02,2024-11-23,3
US,2024-11-02,2024-11-30,4,1330.4134521484375,7.1939964,log,2024-11-02,2024-11-30,4
01,2024-11-09,2024-11-16,1,39.235774993896484,3.6947565,log,2024-11-09,2024-11-16,1
01,2024-11-09,2024-11-23,2,58.51999282836914,4.0863123,log,2024-11-09,2024-11-23,2
01,2024-11-09,2024-11-30,3,94.27809143066406,4.5568,log,2024-11-09,2024-11-30,3
01,2024-11-09,2024-12-07,4,111.78291320800781,4.725465,log,2024-11-09,2024-12-07,4
02,2024-11-09,2024-11-16,1,12.250337600708008,2.584023,log,2024-11-09,2024-11-16,1
02,2024-11-09,2024-11-23,2,22.211395263671875,3.1446433,log,2024-11-09,2024-11-23,2
02,2024-11-09,2024-11-30,3,32.182044982910156,3.502009,log,2024-11-09,2024-11-30,3
02,2024-11-09,2024-12-07,4,38.38689041137695,3.673433,log,2024-11-09,2024-12-07,4
04,2024-11-09,2024-11-16,1,329.4878845214844,5.80057,log,2024-11-09,2024-11-16,1
04,2024-11-09,2024-11-23,2,404.6679992675781,6.005535,log,2024-11-09,2024-11-23,2
04,2024-11-09,2024-11-30,3,331.5728759765625,5.806859,log,2024-11-09,2024-11-30,3
04,2024-11-09,2024-12-07,4,321.5419616699219,5.776233,log,2024-11-09,2024-12-07,4
05,2024-11-09,2024-11-16,1,17.73969078063965,2.9306438,log,2024-11-09,2024-11-16,1
05,2024-11-09,2024-11-23,2,34.92633056640625,3.5814705,log,2024-11-09,2024-11-23,2
05,2024-11-09,2024-11-30,3,54.576942443847656,4.0177684,log,2024-11-09,2024-11-30,3
05,2024-11-09,2024-12-07,4,62.88395690917969,4.1570683,log,2024-11-09,2024-12-07,4
06,2024-11-09,2024-11-16,1,242.5330352783203,5.4952526,log,2024-11-09,2024-11-16,1
06,2024-11-09,2024-11-23,2,359.0704040527344,5.8862996,log,2024-11-09,2024-11-23,2
06,2024-11-09,2024-11-30,3,463.9115295410156,6.141847,log,2024-11-09,2024-11-30,3
06,2024-11-09,2024-12-07,4,683.520751953125,6.528719,log,2024-11-09,2024-12-07,4
08,2024-11-09,2024-11-16,1,32.26354217529297,3.504462,log,2024-11-09,2024-11-16,1
08,2024-11-09,2024-11-23,2,48.79772186279297,3.9079692,log,2024-11-09,2024-11-23,2
08,2024-11-09,2024-11-30,3,80.06708526611328,4.395277,log,2024-11-09,2024-11-30,3
08,2024-11-09,2024-12-07,4,116.62126922607422,4.76747,log,2024-11-09,2024-12-07,4
09,2024-11-09,2024-11-16,1,9.283958435058594,2.3305852,log,2024-11-09,2024-11-16,1
09,2024-11-09,2024-11-23,2,13.025769233703613,2.6408963,log,2024-11-09,2024-11-23,2
09,2024-11-09,2024-11-30,3,19.22498893737793,3.006919,log,2024-11-09,2024-11-30,3
09,2024-11-09,2024-12-07,4,29.169710159301758,3.4068384,log,2024-11-09,2024-12-07,4
10,2024-11-09,2024-11-16,1,1.9999924898147583,1.0986098,log,2024-11-09,2024-11-16,1
