location,cutoff_date,forecast_date,forecast_week,forecast
50,2024-11-09,2024-12-07,4,18.19291114807129
51,2024-11-09,2024-11-16,1,34.592140197753906
51,2024-11-09,2024-11-23,2,42.31255340576172
51,2024-11-09,2024-11-30,3,63.60612487792969
51,2024-11-09,2024-12-07,4,91.31743621826172
53,2024-11-09,2024-11-16,1,22.162796020507812
53,2024-11-09,2024-11-23,2,26.22450828552246
53,2024-11-09,2024-11-30,3,44.82846450805664
53,2024-11-09,2024-12-07,4,62.471221923828125
54,2024-11-09,2024-11-16,1,8.404160499572754
54,2024-11-09,2024-11-23,2,12.288263320922852
54,2024-11-09,2024-11-30,3,30.800716400146484
54,2024-11-09,2024-12-07,4,33.46208953857422
55,2024-11-09,2024-11-16,1,17.591503143310547
55,2024-11-09,2024-11-23,2,29.400657653808594
55,2024-11-09,2024-11-30,3,53.14787673950195
55,2024-11-09,2024-12-07,4,67.05992126464844
56,2024-11-09,2024-11-16,1,5.237522602081299
56,2024-11-09,2024-11-23,2,12.148677825927734
56,2024-11-09,2024-11-30,3,24.583478927612305
56,2024-11-09,2024-12-07,4,19.866701126098633
72,2024-11-09,2024-11-16,1,130.95352172851562
72,2024-11-09,2024-11-23,2,149.2312774658203
72,2024-11-09,2024-11-30,3,226.6658172607422
72,2024-11-09,2024-12-07,4,294.2124938964844
US,2024-11-09,2024-11-16,1,2424.789794921875
US,2024-11-09,2024-11-23,2,2717.80126953125
US,2024-11-09,2024-11-30,3,1678.406982421875
US,2024-11-09,2024-12-07,4,1560.66552734375
01,2024-11-16,2024-11-23,1,66.58285522460938
01,2024-11-16,2024-11-30,2,106.61945343017578
01,2024-11-16,2024-12-07,3,143.55819702148438
01,2024-11-16,2024-12-14,4,168.17050170898438
02,2024-11-16,2024-11-23,1,19.538497924804688
02,2024-11-16,2024-11-30,2,13.548150062561035
02,2024-11-16,2024-12-07,3,21.965177536010742
02,2024-11-16,2024-12-14,4,22.872547149658203
04,2024-11-16,2024-11-23,1,469.4839172363281
04,2024-11-16,2024-11-30,2,706.534423828125
04,2024-11-16,2024-12-07,3,517.7651977539062
04,2024-11-16,2024-12-14,4,995.7876586914062
05,2024-11-16,2024-11-23,1,19.210329055786133
05,2024-11-16,2024-11-30,2,39.86383819580078
05,2024-11-16,2024-12-07,3,58.37395095825195
05,2024-11-16,2024-12-14,4,74.12926483154297
06,2024-11-16,2024-11-23,1,404.38397216796875
06,2024-11-16,2024-11-30,2,705.3338623046875
06,2024-11-16,2024-12-07,3,874.1896362304688
06,2024-11-16,2024-12-14,4,1140.168701171875
08,2024-11-16,2024-11-23,1,42.26117706298828
08,2024-11-16,2024-11-30,2,62.28224563598633
08,2024-11-16,2024-12-07,3,119.08901977539062
08,2024-11-16,2024-12-14,4,152.06570434570312
09,2024-11-16,2024-11-23,1,14.047174453735352
09,2024-11-16,2024-11-30,2,19.734678268432617
09,2024-11-16,2024-12-07,3,24.65314292907715
09,2024-11-16,2024-12-14,4,33.47744369506836
10,2024-11-16,2024-11-23,1,3.2846477031707764
10,2024-11-16,2024-11-30,2,9.406792640686035
10,2024-11-16,2024-12-07,3,22.62940216064453
10,2024-11-16,2024-12-14,4,21.611888885498047
11,2024-11-16,2024-11-23,1,4.699950695037842
11,2024-11-16,2024-11-30,2,9.11259651184082
11,2024-11-16,2024-12-07,3,15.240286827087402
11,2024-11-16,2024-12-14,4,23.741727828979492
12,2024-11-16,2024-11-23,1,462.87786865234375
12,2024-11-16,2024-11-30,2,626.3958129882812
12,2024-11-16,2024-12-07,3,824.966552734375
12,2024-11-16,2024-12-14,4,955.6885375976562
13,2024-11-16,2024-11-23,1,71.51901245117188
13,2024-11-16,2024-11-30,2,111.26494598388672
13,2024-11-16,2024-12-07,3,159.70404052734375
13,2024-11-16,2024-12-14,4,215.79393005371094
15,2024-11-16,2024-11-23,1,18.88250732421875
15,2024-11-16,2024-11-30,2,27.672657012939453
15,2024-11-16,2024-12-07,3,50.60511779785156
15,2024-11-16,2024-12-14,4,61.06882095336914
16,2024-11-16,2024-11-23,1,15.883638381958008
16,2024-11-16,2024-11-30,2,22.566835403442383
16,2024-11-16,2024-12-07,3,35.031253814697266
16,2024-11-16,2024-12-14,4,37.912784576416016
17,2024-11-16,2024-11-23,1,58.966392517089844
17,2024-11-16,2024-11-30,2,92.39540100097656
17,2024-11-16,2024-12-07,3,133.86068725585938
17,2024-11-16,2024-12-14,4,166.22967529296875
18,2024-11-16,2024-11-23,1,44.6811408996582
18,2024-11-16,2024-11-30,2,62.01278305053711
18,2024-11-16,2024-12-07,3,87.81385040283203
18,2024-11-16,2024-12-14,4,135.94407653808594
19,2024-11-16,2024-11-23,1,9.160232543945312
19,2024-11-16,2024-11-30,2,17.587690353393555
19,2024-11-16,2024-12-07,3,22.087209701538086
19,2024-11-16,2024-12-14,4,33.216922760009766
20,2024-11-16,2024-11-23,1,14.111238479614258
20,2024-11-16,2024-11-30,2,25.614643096923828
20,2024-11-16,2024-12-07,3,38.093021392822266
20,2024-11-16,2024-12-14,4,52.84452438354492
21,2024-11-16,2024-11-23,1,26.027936935424805
21,2024-11-16,2024-11-30,2,35.32786560058594
21,2024-11-16,2024-12-07,3,60.60486602783203
21,2024-11-16,2024-12-14,4,102.76162719726562
22,2024-11-16,2024-11-23,1,128.8101806640625
22,2024-11-16,2024-11-30,2,197.58950805664062
22,2024-11-16,2024-12-07,3,222.19229125976562
22,2024-11-16,2024-12-14,4,219.92213439941406
23,2024-11-16,2024-11-23,1,4.667540550231934
23,2024-11-16,2024-11-30,2,10.62281322479248
23,2024-11-16,2024-12-07,3,14.533695220947266
23,2024-11-16,2024-12-14,4,21.5989990234375
24,2024-11-16,2024-11-23,1,17.248836517333984
24,2024-11-16,2024-11-30,2,25.274173736572266
24,2024-11-16,2024-12-07,3,35.80353546142578
24,2024-11-16,2024-12-14,4,41.418209075927734
25,2024-11-16,2024-11-23,1,25.313871383666992
25,2024-11-16,2024-11-30,2,43.27347946166992
25,2024-11-16,2024-12-07,3,72.86247253417969
25,2024-11-16,2024-12-14,4,108.80748748779297
26,2024-11-16,2024-11-23,1,68.43540954589844
26,2024-11-16,2024-11-30,2,96.60317993164062
26,2024-11-16,2024-12-07,3,154.68458557128906
26,2024-11-16,2024-12-14,4,207.08328247070312
27,2024-11-16,2024-11-23,1,18.02036476135254
27,2024-11-16,2024-11-30,2,28.884735107421875
27,2024-11-16,2024-12-07,3,28.854856491088867
27,2024-11-16,2024-12-14,4,42.487422943115234
28,2024-11-16,2024-11-23,1,37.73827362060547
28,2024-11-16,2024-11-30,2,61.36396789550781
28,2024-11-16,2024-12-07,3,86.88359069824219
28,2024-11-16,2024-12-14,4,119.85275268554688
29,2024-11-16,2024-11-23,1,44.53024673461914
29,2024-11-16,2024-11-30,2,85.09160614013672
29,2024-11-16,2024-12-07,3,127.63818359375
29,2024-11-16,2024-12-14,4,148.01129150390625
30,2024-11-16,2024-11-23,1,5.290960311889648
30,2024-11-16,2024-11-30,2,10.022849082946777
30,2024-11-16,2024-12-07,3,18.224470138549805
30,2024-11-16,2024-12-14,4,21.308509826660156
31,2024-11-16,2024-11-23,1,6.203066825866699
31,2024-11-16,2024-11-30,2,12.873104095458984
31,2024-11-16,2024-12-07,3,25.066020965576172
31,2024-11-16,2024-12-14,4,31.761995315551758
32,2024-11-16,2024-11-23,1,55.03577423095703
32,2024-11-16,2024-11-30,2,75.7323989868164
32,2024-11-16,2024-12-07,3,130.0651397705078
32,2024-11-16,2024-12-14,4,144.57122802734375
33,2024-11-16,2024-11-23,1,5.8752593994140625
33,2024-11-16,2024-11-30,2,10.318232536315918
33,2024-11-16,2024-12-07,3,25.15302085876465
33,2024-11-16,2024-12-14,4,23.147666931152344
34,2024-11-16,2024-11-23,1,55.616180419921875
34,2024-11-16,2024-11-30,2,86.43549346923828
34,2024-11-16,2024-12-07,3,125.64433288574219
34,2024-11-16,2024-12-14,4,167.88746643066406
35,2024-11-16,2024-11-23,1,26.92683219909668
35,2024-11-16,2024-11-30,2,53.01675796508789
35,2024-11-16,2024-12-07,3,77.83583068847656
35,2024-11-16,2024-12-14,4,99.8516616821289
36,2024-11-16,2024-11-23,1,111.16087341308594
36,2024-11-16,2024-11-30,2,192.22218322753906
36,2024-11-16,2024-12-07,3,258.1525573730469
36,2024-11-16,2024-12-14,4,313.45428466796875
37,2024-11-16,2024-11-23,1,42.264076232910156
37,2024-11-16,2024-11-30,2,51.856685638427734
37,2024-11-16,2024-12-07,3,64.2163314819336
37,2024-11-16,2024-12-14,4,104.45787811279297
38,2024-11-16,2024-11-23,1,4.829061031341553
38,2024-11-16,2024-11-30,2,8.716865539550781
38,2024-11-16,2024-12-07,3,15.311391830444336
38,2024-11-16,2024-12-14,4,25.777889251708984
39,2024-11-16,2024-11-23,1,47.575923919677734
39,2024-11-16,2024-11-30,2,71.73345184326172
39,2024-11-16,2024-12-07,3,157.1189727783203
39,2024-11-16,2024-12-14,4,205.91714477539062
40,2024-11-16,2024-11-23,1,19.74822235107422
40,2024-11-16,2024-11-30,2,34.871551513671875
40,2024-11-16,2024-12-07,3,55.15106201171875
40,2024-11-16,2024-12-14,4,78.9758529663086
41,2024-11-16,2024-11-23,1,48.359474182128906
41,2024-11-16,2024-11-30,2,84.10704803466797
41,2024-11-16,2024-12-07,3,131.9170379638672
41,2024-11-16,2024-12-14,4,170.02833557128906
42,2024-11-16,2024-11-23,1,184.60630798339844
42,2024-11-16,2024-11-30,2,259.82757568359375
42,2024-11-16,2024-12-07,3,405.0135192871094
42,2024-11-16,2024-12-14,4,356.6704406738281
44,2024-11-16,2024-11-23,1,5.212818622589111
44,2024-11-16,2024-11-30,2,9.118265151977539
44,2024-11-16,2024-12-07,3,17.044513702392578
44,2024-11-16,2024-12-14,4,21.262319564819336
45,2024-11-16,2024-11-23,1,24.265810012817383
45,2024-11-16,2024-11-30,2,38.81904220581055
45,2024-11-16,2024-12-07,3,48.650142669677734
45,2024-11-16,2024-12-14,4,64.46380615234375
46,2024-11-16,2024-11-23,1,4.995437145233154
46,2024-11-16,2024-11-30,2,10.084512710571289
46,2024-11-16,2024-12-07,3,15.22943115234375
46,2024-11-16,2024-12-14,4,17.624128341674805
47,2024-11-16,2024-11-23,1,155.23147583007812
47,2024-11-16,2024-11-30,2,217.68658447265625
47,2024-11-16,2024-12-07,3,330.1054992675781
47,2024-11-16,2024-12-14,4,326.7241516113281
48,2024-11-16,2024-11-23,1,307.2618103027344
48,2024-11-16,2024-11-30,2,485.3684387207031
48,2024-11-16,2024-12-07,3,599.1571044921875
48,2024-11-16,2024-12-14,4,793.3876953125
49,2024-11-16,2024-11-23,1,13.416973114013672
49,2024-11-16,2024-11-30,2,21.197195053100586
49,2024-11-16,2024-12-07,3,36.025150299072266
49,2024-11-16,2024-12-14,4,33.677730560302734
50,2024-11-16,2024-11-23,1,4.841526985168457
50,2024-11-16,2024-11-30,2,9.128148078918457
50,2024-11-16,2024-12-07,3,14.49416732788086
50,2024-11-16,2024-12-14,4,7.952330112457275
51,2024-11-16,2024-11-23,1,45.291053771972656
51,2024-11-16,2024-11-30,2,64.02572631835938
51,2024-11-16,2024-12-07,3,80.08109283447266
51,2024-11-16,2024-12-14,4,122.41259765625
53,2024-11-16,2024-11-23,1,32.7973747253418
53,2024-11-16,2024-11-30,2,62.5189208984375
53,2024-11-16,2024-12-07,3,80.6551742553711
53,2024-11-16,2024-12-14,4,106.18878173828125
54,2024-11-16,2024-11-23,1,6.351239204406738
54,2024-11-16,2024-11-30,2,13.372885704040527
54,2024-11-16,2024-12-07,3,23.930349349975586
54,2024-11-16,2024-12-14,4,34.36723327636719
55,2024-11-16,2024-11-23,1,15.21167278289795
55,2024-11-16,2024-11-30,2,22.118406295776367
55,2024-11-16,2024-12-07,3,29.384262084960938
55,2024-11-16,2024-12-14,4,43.9560432434082
56,2024-11-16,2024-11-23,1,7.557926654815674
56,2024-11-16,2024-11-30,2,13.529088020324707
56,2024-11-16,2024-12-07,3,27.409278869628906
56,2024-11-16,2024-12-14,4,29.253128051757812
72,2024-11-16,2024-11-23,1,232.71456909179688
72,2024-11-16,2024-11-30,2,306.9698791503906
72,2024-11-16,2024-12-07,3,288.4161071777344
72,2024-11-16,2024-12-14,4,201.87631225585938
US,2024-11-16,2024-11-23,1,2339.800048828125
US,2024-11-16,2024-11-30,2,2724.28369140625
US,2024-11-16,2024-12-07,3,1434.4913330078125
US,2024-11-16,2024-12-14,4,1352.892822265625
01,2024-11-23,2024-11-30,1,70.51465606689453
01,2024-11-23,2024-12-07,2,111.00094604492188
01,2024-11-23,2024-12-14,3,182.0867919921875
01,2024-11-23,2024-12-21,4,200.92970275878906
02,2024-11-23,2024-11-30,1,17.100322723388672
02,2024-11-23,2024-12-07,2,18.252532958984375
02,2024-11-23,2024-12-14,3,17.684852600097656
02,2024-11-23,2024-12-21,4,24.74823570251465
04,2024-11-23,2024-11-30,1,593.0458374023438
04,2024-11-23,2024-12-07,2,556.9090576171875
04,2024-11-23,2024-12-14,3,494.9688720703125
04,2024-11-23,2024-12-21,4,914.85888671875
05,2024-11-23,2024-11-30,1,18.045520782470703
05,2024-11-23,2024-12-07,2,25.962963104248047
05,2024-11-23,2024-12-14,3,41.741939544677734
05,2024-11-23,2024-12-21,4,39.32877731323242
06,2024-11-23,2024-11-30,1,782.8231201171875
06,2024-11-23,2024-12-07,2,857.8909912109375
06,2024-11-23,2024-12-14,3,1062.0867919921875
06,2024-11-23,2024-12-21,4,1149.38623046875
08,2024-11-23,2024-11-30,1,42.472537994384766
08,2024-11-23,2024-12-07,2,48.0810661315918
08,2024-11-23,2024-12-14,3,66.3355712890625
08,2024-11-23,2024-12-21,4,94.26670837402344
09,2024-11-23,2024-11-30,1,15.54201602935791
09,2024-11-23,2024-12-07,2,18.133365631103516
09,2024-11-23,2024-12-14,3,25.659666061401367
09,2024-11-23,2024-12-21,4,33.830387115478516
10,2024-11-23,2024-11-30,1,7.598474979400635
10,2024-11-23,2024-12-07,2,13.078676223754883
10,2024-11-23,2024-12-14,3,27.144784927368164
10,2024-11-23,2024-12-21,4,16.083330154418945
11,2024-11-23,2024-11-30,1,7.998086929321289
11,2024-11-23,2024-12-07,2,7.430846691131592
11,2024-11-23,2024-12-14,3,22.089101791381836
11,2024-11-23,2024-12-21,4,14.794466972351074
12,2024-11-23,2024-11-30,1,607.58935546875
12,2024-11-23,2024-12-07,2,772.3468627929688
12,2024-11-23,2024-12-14,3,1002.312744140625
12,2024-11-23,2024-12-21,4,1031.8570556640625
13,2024-11-23,2024-11-30,1,68.71401977539062
13,2024-11-23,2024-12-07,2,99.23257446289062
13,2024-11-23,2024-12-14,3,155.85165405273438
13,2024-11-23,2024-12-21,4,232.33497619628906
15,2024-11-23,2024-11-30,1,16.528789520263672
15,2024-11-23,2024-12-07,2,20.138761520385742
15,2024-11-23,2024-12-14,3,32.13749313354492
15,2024-11-23,2024-12-21,4,53.69385528564453
16,2024-11-23,2024-11-30,1,37.787574768066406
16,2024-11-23,2024-12-07,2,58.3690299987793
16,2024-11-23,2024-12-14,3,95.55458068847656
16,2024-11-23,2024-12-21,4,112.62451934814453
17,2024-11-23,2024-11-30,1,127.31044006347656
17,2024-11-23,2024-12-07,2,151.99267578125
17,2024-11-23,2024-12-14,3,239.5207061767578
17,2024-11-23,2024-12-21,4,379.2080078125
18,2024-11-23,2024-11-30,1,59.62779235839844
18,2024-11-23,2024-12-07,2,78.19307708740234
18,2024-11-23,2024-12-14,3,115.56753540039062
18,2024-11-23,2024-12-21,4,156.6027069091797
19,2024-11-23,2024-11-30,1,13.722224235534668
19,2024-11-23,2024-12-07,2,15.430081367492676
19,2024-11-23,2024-12-14,3,21.29804801940918
19,2024-11-23,2024-12-21,4,31.730709075927734
20,2024-11-23,2024-11-30,1,23.2540225982666
20,2024-11-23,2024-12-07,2,31.202760696411133
20,2024-11-23,2024-12-14,3,48.07324981689453
20,2024-11-23,2024-12-21,4,66.79398345947266
