location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
27,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-25,persistence
27,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2025-10-04,2025-11-01,persistence
28,2025-10-04,2025-10-11,1,1,13.0,13.0,0.0,6.0,13.0,16.0,23.0,2025-10-04,2025-10-11,persistence
28,2025-10-04,2025-10-18,2,2,13.0,13.0,0.0,1.0,13.0,16.0,23.0,2025-10-04,2025-10-18,persistence
28,2025-10-04,2025-10-25,3,3,12.0,12.0,0.0,0.0,12.0,16.0,23.0,2025-10-04,2025-10-25,persistence
28,2025-10-04,2025-11-01,4,4,11.0,11.0,0.0,0.0,11.0,15.0,23.0,2025-10-04,2025-11-01,persistence
29,2025-10-04,2025-10-11,1,1,17.0,17.0,0.0,10.0,17.0,20.0,27.0,2025-10-04,2025-10-11,persistence
29,2025-10-04,2025-10-18,2,2,17.0,17.0,0.0,5.0,17.0,20.0,27.0,2025-10-04,2025-10-18,persistence
29,2025-10-04,2025-10-25,3,3,16.0,16.0,0.0,1.0,16.0,20.0,27.0,2025-10-04,2025-10-25,persistence
29,2025-10-04,2025-11-01,4,4,15.0,15.0,0.0,0.0,15.0,19.0,27.0,2025-10-04,2025-11-01,persistence
30,2025-10-04,2025-10-11,1,1,4.0,4.0,0.0,0.0,4.0,7.0,14.0,2025-10-04,2025-10-11,persistence
30,2025-10-04,2025-10-18,2,2,4.0,4.0,0.0,0.0,4.0,7.0,14.0,2025-10-04,2025-10-18,persistence
30,2025-10-04,2025-10-25,3,3,3.0,3.0,0.0,0.0,3.0,7.0,14.0,2025-10-04,2025-10-25,persistence
30,2025-10-04,2025-11-01,4,4,2.0,2.0,0.0,0.0,2.0,6.0,14.0,2025-10-04,2025-11-01,persistence
31,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-11,persistence
31,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-18,persistence
31,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-25,persistence
31,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2025-10-04,2025-11-01,persistence
