location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
30,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
30,2025-10-04,2025-10-18,2,2,7.0,7.0,0.0,3.0,7.0,20.0,137.0,2025-10-04,2025-10-18,seasonal_naive
30,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,1.0,5.0,17.0,124.0,2025-10-04,2025-10-25,seasonal_naive
30,2025-10-04,2025-11-01,4,4,5.0,5.0,0.0,1.0,5.0,16.0,120.29999999999973,2025-10-04,2025-11-01,seasonal_naive
31,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
31,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
31,2025-10-04,2025-10-25,3,3,6.0,6.0,0.0,2.0,6.0,18.0,125.0,2025-10-04,2025-10-25,seasonal_naive
31,2025-10-04,2025-11-01,4,4,7.0,7.0,0.0,3.0,7.0,18.0,122.29999999999973,2025-10-04,2025-11-01,seasonal_naive
32,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
32,2025-10-04,2025-10-18,2,2,10.0,10.0,0.0,6.0,10.0,23.0,140.0,2025-10-04,2025-10-18,seasonal_naive
32,2025-10-04,2025-10-25,3,3,10.0,10.0,0.0,6.0,10.0,22.0,129.0,2025-10-04,2025-10-25,seasonal_naive
32,2025-10-04,2025-11-01,4,4,16.0,16.0,1.0,12.0,16.0,27.0,131.29999999999973,2025-10-04,2025-11-01,seasonal_naive
33,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
33,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
33,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,1.0,5.0,17.0,124.0,2025-10-04,2025-10-25,seasonal_naive
33,2025-10-04,2025-11-01,4,4,6.0,6.0,0.0,2.0,6.0,17.0,121.29999999999973,2025-10-04,2025-11-01,seasonal_naive
34,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
34,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
34,2025-10-04,2025-10-25,3,3,7.0,7.0,0.0,3.0,7.0,19.0,126.0,2025-10-04,2025-10-25,seasonal_naive
34,2025-10-04,2025-11-01,4,4,33.0,33.0,18.0,29.0,33.0,44.0,148.29999999999973,2025-10-04,2025-11-01,seasonal_naive
35,2025-10-04,2025-10-11,1,1,8.0,8.0,0.0,3.0,8.0,23.0,163.79999999999927,2025-10-04,2025-10-11,seasonal_naive
